"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"DMPK",-0.701215518672202,6.98638598360656,-3.86366230651568,0.000143043193144155,0.0312101175014794,0.826561002209258,"Not Significant"
"USF3",-0.734280470262791,7.08312090163934,-3.85579102140563,0.000147451615417387,0.0313615800672128,0.799952239553302,"Not Significant"
"WDR13",-0.77458572614108,7.12445786885246,-3.85558206839369,0.000147570377974541,0.0313615800672128,0.799246525413379,"Not Significant"
"XAB2",-0.470392849239285,6.91645733606557,-3.84597610981997,0.000153129002272139,0.0315283104869277,0.766839763909217,"Not Significant"
"NELFB",-0.556592863070537,7.37623049180328,-3.84492142332068,0.000153751251530309,0.0315283104869277,0.763285984808588,"Not Significant"
"SLC35C2",-0.596255656984789,6.93335868852459,-3.84427303014318,0.000154134981603167,0.0315283104869277,0.761101640697198,"Not Significant"
"MLLT6",-0.473288713692951,7.31387040983607,-3.82399649667239,0.000166602952805246,0.0336579101198153,0.69295617509573,"Not Significant"
"WDR74",-0.768363029045649,7.35732405737705,-3.81696532852691,0.000171144998360877,0.0340924202324738,0.669399753955396,"Not Significant"
"RANBP3",-0.382358506224069,7.63997262295082,-3.81359088673735,0.000173366226858014,0.0340924202324738,0.658107949786651,"Not Significant"
"BSDC1",-0.522092932226831,7.28403290983607,-3.8107302105136,0.000175270606446158,0.0340924202324738,0.648542226325016,"Not Significant"
"SH3GLB2",-0.68468666666667,7.15320827868852,-3.80802860802095,0.00017708724760207,0.0340924202324738,0.639514223045004,"Not Significant"
"TIMM10B",-0.470651908713692,7.27091479508197,-3.80046759088166,0.000182266672484057,0.0342966862152421,0.614277364762204,"Not Significant"
"INPP5K",-0.496077164591981,6.88433881147541,-3.80036201738731,0.000182339996377784,0.0342966862152421,0.613925298377168,"Not Significant"
"WDR45",-0.450215560165976,6.77356987704918,-3.79504750620767,0.000186067345583612,0.0346000686719344,0.596213600453241,"Not Significant"
"ABCF3",-0.525282489626558,6.61120590163934,-3.76748982120012,0.000206578762382963,0.0379826389621888,0.504722330623166,"Not Significant"
"VPS26B",-0.514361922544952,7.10827553278689,-3.76263623877456,0.000210405736982985,0.0382564386665507,0.488669398094554,"Not Significant"
"TUT1",-0.432115947441221,6.06012028688525,-3.75678211285315,0.000215110760446819,0.0384878480929221,0.469331532786129,"Not Significant"
"HEXB",0.715247385892113,9.00097336065574,3.75522063724507,0.000216382426335177,0.0384878480929221,0.464178020248313,"Not Significant"
"LUM",1.9007363208852,10.3001132786885,3.74319640635476,0.000226415578897519,0.0398278046392766,0.424556511502838,"Upregulated"
"SLC1A4",-1.12485142461964,6.87186204918033,-3.73789390116045,0.000230978238865844,0.0398278046392766,0.407119703298362,"Downregulated"
"IDH3B",-0.557116998616874,7.42669946721311,-3.73626050320974,0.000232401133059438,0.0398278046392766,0.40175282468579,"Not Significant"
"BRI3",-0.528314854771782,8.31647081967213,-3.73228177501885,0.000235901814103124,0.0398278046392766,0.388688542029757,"Not Significant"
"VPS52",-0.470801466113413,7.84029040983607,-3.73207496618389,0.00023608512894218,0.0398278046392766,0.388009815103715,"Not Significant"
"TMEM214",-0.729284398340257,8.22642221311475,-3.72617762068582,0.000241369470349784,0.0403037756408558,0.368669289757845,"Not Significant"
"GID4",-0.595177012448128,5.88346073770492,-3.70685018130441,0.000259481166859167,0.042890402166499,0.305474142829564,"Not Significant"
"SREBF2",-0.868571535269708,6.82438762295082,-3.69783464296813,0.000268361304914534,0.0435153002334108,0.276095515589484,"Not Significant"
"CCDC9",-0.571518450899031,6.68313508196721,-3.69728993666451,0.000268906909475198,0.0435153002334108,0.274322531031321,"Not Significant"
"SUN2",-0.576811313969565,7.75487729508197,-3.6946882930555,0.000271527304994821,0.0435153002334108,0.265857539901674,"Not Significant"
"MRPL2",-0.557155615491014,6.80062799180328,-3.69062265893178,0.000275670511016232,0.0435153002334108,0.252639729785033,"Not Significant"
"MORF4L2",0.823773720608576,7.64988868852459,3.6841930083665,0.000282344728778266,0.0435153002334108,0.231762599834418,"Not Significant"
"OR7E5P",-0.595192427385892,7.20240051229508,-3.68227589672563,0.000284364058939756,0.0435153002334108,0.225543972829486,"Not Significant"
"GMFB",0.748167344398337,7.19694856557377,3.68141147794655,0.000285279014031292,0.0435153002334108,0.22274095567966,"Not Significant"
"CTNS",-0.738126984785616,6.38386168032787,-3.67842625772656,0.000288460143708065,0.0435153002334108,0.213065389498477,"Not Significant"
"MID1IP1",-0.872606390041493,6.75785237704918,-3.6784125280053,0.000288474851405647,0.0435153002334108,0.213020905415836,"Not Significant"
"SETD1B",-0.433325048409408,6.6303993852459,-3.67712818518687,0.00028985380869236,0.0435153002334108,0.20886030645888,"Not Significant"
"HAMP",-0.795618035961273,5.58586081967213,-3.66944568721081,0.000298232856954773,0.0441011921568434,0.183999968764879,"Not Significant"
"UBL7",-0.4290322406639,7.14249274590164,-3.66667181172155,0.000301313924127764,0.0441011921568434,0.175035135256187,"Not Significant"
